model,accuracy,precision,recall,f1,roc_auc
XGBoost,0.9103187080177219,0.0,0.0,0.0,0.6372813479577255
Logistic Regression,0.6409175360868944,0.1302471557473519,0.5290836653386454,0.2090351015268377,0.627607913584691
Random Forest,0.8921680720308703,0.21396396396396397,0.07569721115537849,0.11183048852266039,0.6146135295539719
