threshold,precision,recall,f1,pct_flagged
0.1,0.12290755542150505,0.649402390438247,0.20669540958660917,0.47384593397170216
0.15,0.16750289463527596,0.3458167330677291,0.22568902756110246,0.18515077890524512
0.2,0.19820717131474103,0.15856573705179283,0.1761841522797698,0.0717450335858225
0.25,0.2347266881028939,0.05816733067729084,0.09323116219667944,0.022223810204373303
0.3,0.22784810126582278,0.014342629482071713,0.026986506746626688,0.005645276547091611
0.35,0.18181818181818182,0.0031872509960159364,0.006264682850430697,0.0015721023295698156
0.4,0.25,0.0007968127490039841,0.0015885623510722795,0.0002858367871945119
0.45,0.0,0.0,0.0,7.145919679862798e-05
0.5,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0
0.7,0.0,0.0,0.0,0.0
